,kaajak FNC,crashies FNC,Chronicle FNC,Boaster FNC,Alfajer FNC
qRaxs FUT,1 0 +1,,,0 1 -1,
yetujey FUT,2 0 +2,1 0 +1,,1 0 +1,
MrFaliN FUT,,,,1 0 +1,
xeus FUT,1 2 -1,1 0 +1,0 1 -1,,0 3 -3
AtaKaptan FUT,0 1 -1,,,1 1 +0,1 0 +1
