,Alfajer FNC,kaajak FNC,crashies FNC,Chronicle FNC,Boaster FNC
kamo TL,5 3 +2,3 7 -4,3 5 -2,4 2 +2,6 2 +4
Serial TL,5 5 +0,1 5 -4,4 3 +1,5 5 +0,3 2 +1
nAts TL,4 3 +1,5 3 +2,2 2 +0,6 3 +3,4 3 +1
paTiTek TL,4 3 +1,3 9 -6,2 4 -2,2 1 +1,2 2 +0
keiko TL,6 2 +4,5 3 +2,5 4 +1,5 2 +3,1 3 -2
