,Alfajer FNC,kaajak FNC,crashies FNC,Chronicle FNC,Boaster FNC
kamo TL,4 2 +2,3 7 -4,5 4 +1,5 5 +0,4 3 +1
Serial TL,4 5 -1,2 2 +0,2 4 -2,2 5 -3,2 4 -2
nAts TL,3 7 -4,3 2 +1,4 2 +2,4 5 -1,3 2 +1
paTiTek TL,5 4 +1,7 3 +4,4 4 +0,3 6 -3,1 0 +1
keiko TL,2 4 -2,2 4 -2,1 5 -4,3 3 +0,8 1 +7
