,Alfajer FNC,kaajak FNC,crashies FNC,Chronicle FNC,Boaster FNC
kamo TL,0 2 -2,0 1 -1,1 1 +0,2 1 +1,
Serial TL,0 1 -1,,1 0 +1,,
nAts TL,4 0 +4,,,,
paTiTek TL,0 1 -1,1 1 +0,,,
keiko TL,1 1 +0,1 1 +0,,0 2 -2,
