,Alfajer FNC,kaajak FNC,crashies FNC,Chronicle FNC,Boaster FNC
kamo TL,12 10 +2,9 16 -7,10 12 -2,15 11 +4,12 8 +4
Serial TL,11 14 -3,6 9 -3,8 9 -1,8 13 -5,5 9 -4
nAts TL,13 14 -1,11 10 +1,9 8 +1,12 10 +2,13 6 +7
paTiTek TL,10 10 +0,12 18 -6,7 8 -1,6 12 -6,8 4 +4
keiko TL,11 10 +1,11 8 +3,10 11 -1,12 11 +1,10 7 +3
