,Alfajer FNC,kaajak FNC,crashies FNC,Chronicle FNC,Boaster FNC
kamo TL,3 5 -2,3 2 +1,2 3 -1,6 4 +2,2 3 -1
Serial TL,2 4 -2,3 2 +1,2 2 +0,1 3 -2,0 3 -3
nAts TL,6 4 +2,3 5 -2,3 4 -1,2 2 +0,6 1 +5
paTiTek TL,1 3 -2,2 6 -4,1 0 +1,1 5 -4,5 2 +3
keiko TL,3 4 -1,4 1 +3,4 2 +2,4 6 -2,1 3 -2
