,Alfajer FNC,kaajak FNC,crashies FNC,Chronicle FNC,Boaster FNC
kamo TL,1 0 +1,1 4 -3,,0 1 -1,2 0 +2
Serial TL,,0 1 -1,,1 1 +0,0 3 -3
nAts TL,1 0 +1,2 2 +0,2 0 +2,1 0 +1,
paTiTek TL,,,,,
keiko TL,0 1 -1,,,,2 0 +2
