,rich MIBR,mazin MIBR,liazzi MIBR,Palla MIBR,artzin MIBR
saadhak LOUD,1 0 +1,1 0 +1,0 1 -1,2 3 -1,
cauanzin LOUD,,0 1 -1,,1 1 +0,2 1 +1
tuyz LOUD,1 0 +1,,,0 1 -1,0 1 -1
pANcada LOUD,,,,0 1 -1,0 1 -1
Less LOUD,0 1 -1,,,1 0 +1,1 0 +1
