,rich MIBR,mazin MIBR,liazzi MIBR,Palla MIBR,artzin MIBR
saadhak LOUD,2 0 +2,1 0 +1,2 1 +1,2 7 -5,4 2 +2
cauanzin LOUD,0 1 -1,0 1 -1,1 0 +1,4 3 +1,4 2 +2
tuyz LOUD,2 1 +1,,1 1 +0,2 5 -3,0 1 -1
pANcada LOUD,1 1 +0,,,1 2 -1,0 1 -1
Less LOUD,0 2 -2,,,5 0 +5,2 1 +1
