,rich MIBR,mazin MIBR,liazzi MIBR,Palla MIBR,artzin MIBR
saadhak LOUD,1 0 +1,,,,1 1 +0
cauanzin LOUD,0 1 -1,,1 0 +1,2 1 +1,
tuyz LOUD,1 1 +0,,1 1 +0,1 1 +0,
pANcada LOUD,,,,1 1 +0,
Less LOUD,0 1 -1,,,2 0 +2,1 0 +1
