,rich MIBR,mazin MIBR,liazzi MIBR,Palla MIBR,artzin MIBR
saadhak LOUD,,,2 0 +2,0 4 -4,3 1 +2
cauanzin LOUD,,,,1 1 +0,2 1 +1
tuyz LOUD,,,,1 3 -2,
pANcada LOUD,1 1 +0,,,,
Less LOUD,,,,2 0 +2,0 1 -1
