,gyen DFM,Jinboong DFM,Meiy DFM,Akame DFM,SSeeS DFM
Crws TLN,0 3 -3,0 1 -1,2 2 +0,0 1 -1,2 0 +2
primmie TLN,0 1 -1,1 0 +1,1 1 +0,1 0 +1,0 1 -1
JitBoyS TLN,1 3 -2,1 3 -2,0 5 -5,0 2 -2,0 1 -1
Killua TLN,0 1 -1,2 1 +1,1 2 -1,0 1 -1,2 0 +2
thyy TLN,5 2 +3,0 2 -2,4 3 +1,2 3 -1,1 0 +1
