,gyen DFM,Jinboong DFM,Meiy DFM,Akame DFM,SSeeS DFM
Crws TLN,1 3 -2,3 3 +0,3 4 -1,3 3 +0,1 2 -1
primmie TLN,3 3 +0,4 2 +2,6 6 +0,6 1 +5,4 3 +1
JitBoyS TLN,6 3 +3,2 6 -4,2 3 -1,2 1 +1,3 1 +2
Killua TLN,2 2 +0,6 4 +2,2 7 -5,1 2 -1,4 1 +3
thyy TLN,4 2 +2,4 2 +2,4 2 +2,5 1 +4,3 4 -1
