,gyen DFM,Jinboong DFM,Meiy DFM,Akame DFM,SSeeS DFM
Crws TLN,,,,,
primmie TLN,,,,,
JitBoyS TLN,,,,0 1 -1,
Killua TLN,,,,0 1 -1,
thyy TLN,2 0 +2,,,1 0 +1,
