,gyen DFM,Jinboong DFM,Meiy DFM,Akame DFM,SSeeS DFM
Crws TLN,,,,,
primmie TLN,,,0 2 -2,,
JitBoyS TLN,,,0 2 -2,,
Killua TLN,,,,,
thyy TLN,1 0 +1,1 0 +1,1 1 +0,1 0 +1,
