,gyen DFM,Jinboong DFM,Meiy DFM,Akame DFM,SSeeS DFM
Crws TLN,,,2 1 +1,0 1 -1,1 0 +1
primmie TLN,0 1 -1,,,,
JitBoyS TLN,0 2 -2,1 0 +1,0 2 -2,0 2 -2,
Killua TLN,0 1 -1,1 0 +1,,,
thyy TLN,2 0 +2,0 2 -2,0 1 -1,0 2 -2,
