,gyen DFM,Jinboong DFM,Meiy DFM,Akame DFM,SSeeS DFM
Crws TLN,2 2 +0,2 3 -1,2 6 -4,3 5 -2,2 4 -2
primmie TLN,7 2 +5,2 2 +0,1 6 -5,4 2 +2,2 2 +0
JitBoyS TLN,0 2 -2,2 2 +0,3 6 -3,3 4 -1,4 3 +1
Killua TLN,3 4 -1,4 2 +2,4 3 +1,3 5 -2,3 2 +1
thyy TLN,2 3 -1,1 5 -4,4 4 +0,2 7 -5,1 1 +0
