,gyen DFM,Jinboong DFM,Meiy DFM,Akame DFM,SSeeS DFM
Crws TLN,0 1 -1,,0 1 -1,,
primmie TLN,,1 0 +1,1 0 +1,1 0 +1,0 1 -1
JitBoyS TLN,1 0 +1,0 3 -3,0 2 -2,,
Killua TLN,,1 0 +1,1 0 +1,0 1 -1,2 0 +2
thyy TLN,2 0 +2,,1 0 +1,1 0 +1,1 0 +1
