,gyen DFM,Jinboong DFM,Meiy DFM,Akame DFM,SSeeS DFM
Crws TLN,5 9 -4,8 8 +0,5 11 -6,8 12 -4,6 10 -4
primmie TLN,11 8 +3,6 7 -1,8 17 -9,12 7 +5,6 6 +0
JitBoyS TLN,9 9 +0,4 9 -5,7 14 -7,7 9 -2,8 5 +3
Killua TLN,8 9 -1,15 10 +5,9 13 -4,9 9 +0,11 6 +5
thyy TLN,9 9 +0,10 9 +1,11 11 +0,10 12 -2,6 6 +0
