,gyen DFM,Jinboong DFM,Meiy DFM,Akame DFM,SSeeS DFM
Crws TLN,,,,,
primmie TLN,,,0 3 -3,,
JitBoyS TLN,,,0 5 -5,0 1 -1,
Killua TLN,,,0 1 -1,0 1 -1,
thyy TLN,4 0 +4,1 0 +1,1 2 -1,3 0 +3,
