,Sylvan T1,iZu T1,stax T1,BuZz T1,Meteor T1
S1Mon EDG,4 3 +1,2 1 +1,1 5 -4,4 4 +0,0 2 -2
Smoggy EDG,1 1 +0,1 1 +0,1 4 -3,1 1 +0,1 8 -7
CHICHOO EDG,0 0,1 1 +0,0 4 -4,2 8 -6,4 2 +2
ZmjjKK EDG,4 1 +3,1 6 -5,2 2 +0,0 3 -3,4 5 -1
nobody EDG,0 1 -1,3 3 +0,2 2 +0,0 1 -1,1 7 -6
