,Sylvan T1,iZu T1,stax T1,BuZz T1,Meteor T1
S1Mon EDG,2 4 -2,6 2 +4,4 3 +1,1 7 -6,3 4 -1
Smoggy EDG,4 4 +0,2 2 +0,3 3 +0,4 4 +0,6 7 -1
CHICHOO EDG,5 2 +3,0 3 -3,3 4 -1,6 6 +0,2 3 -1
ZmjjKK EDG,5 4 +1,2 6 -4,4 5 -1,7 3 +4,6 3 +3
nobody EDG,3 4 -1,6 6 +0,1 4 -3,5 1 +4,5 4 +1
