,Sylvan T1,iZu T1,stax T1,BuZz T1,Meteor T1
S1Mon EDG,,,,,0 1 -1
Smoggy EDG,1 0 +1,,1 0 +1,0 1 -1,1 2 -1
CHICHOO EDG,,,,1 1 +0,
ZmjjKK EDG,0 1 -1,2 1 +1,1 1 +0,4 2 +2,1 0 +1
nobody EDG,,0 1 -1,,1 0 +1,1 1 +0
