,Sylvan T1,iZu T1,stax T1,BuZz T1,Meteor T1
S1Mon EDG,8 11 -3,9 12 -3,9 12 -3,11 21 -10,6 14 -8
Smoggy EDG,10 11 -1,8 11 -3,12 10 +2,8 12 -4,16 20 -4
CHICHOO EDG,11 6 +5,6 10 -4,7 12 -5,18 20 -2,11 13 -2
ZmjjKK EDG,17 9 +8,7 21 -14,12 13 -1,14 16 -2,19 12 +7
nobody EDG,7 9 -2,16 17 -1,6 14 -8,7 9 -2,8 16 -8
