,Sylvan T1,iZu T1,stax T1,BuZz T1,Meteor T1
S1Mon EDG,1 2 -1,1 4 -3,1 1 +0,1 3 -2,0 5 -5
Smoggy EDG,3 3 +0,5 4 +1,5 2 +3,1 3 -2,7 1 +6
CHICHOO EDG,2 3 -1,1 3 -2,0 3 -3,5 2 +3,1 3 -2
ZmjjKK EDG,2 2 +0,0 4 -4,1 2 -1,3 5 -2,1 2 -1
nobody EDG,1 1 +0,2 4 -2,1 4 -3,2 2 +0,2 2 +0
