,Sylvan T1,iZu T1,stax T1,BuZz T1,Meteor T1
S1Mon EDG,1 1 +0,0 1 -1,,1 1 +0,0 2 -2
Smoggy EDG,1 0 +1,1 0 +1,2 1 +1,1 2 -1,4 6 -2
CHICHOO EDG,0 1 -1,0 1 -1,,4 5 -1,1 2 -1
ZmjjKK EDG,2 3 -1,2 5 -3,2 3 -1,5 5 +0,4 3 +1
nobody EDG,1 0 +1,1 3 -2,,1 0 +1,1 4 -3
