,Sylvan T1,iZu T1,stax T1,BuZz T1,Meteor T1
S1Mon EDG,,,,0 1 -1,
Smoggy EDG,,,,0 1 -1,
CHICHOO EDG,,,,0 1 -1,
ZmjjKK EDG,,1 0 +1,1 0 +1,1 2 -1,
nobody EDG,,,,0 2 -2,
