,Sylvan T1,iZu T1,stax T1,BuZz T1,Meteor T1
S1Mon EDG,1 2 -1,0 5 -5,3 3 +0,5 7 -2,3 3 +0
Smoggy EDG,2 3 -1,0 4 -4,3 1 +2,2 4 -2,2 4 -2
CHICHOO EDG,4 1 +3,4 3 +1,4 1 +3,5 4 +1,4 5 -1
ZmjjKK EDG,6 2 +4,4 5 -1,5 4 +1,4 5 -1,8 2 +6
nobody EDG,3 3 +0,5 4 +1,2 4 -2,0 5 -5,0 3 -3
