,Chronicle FNC,Alfajer FNC,crashies FNC,kaajak FNC,Boaster FNC
purp0 GX,1 1 +0,1 0 +1,1 0 +1,0 4 -4,0 1 -1
Cloud GX,1 2 -1,1 0 +1,0 1 -1,4 1 +3,2 0 +2
Flickless GX,1 1 +0,2 3 -1,0 2 -2,1 1 +0,0 2 -2
ara GX,3 2 +1,3 4 -1,3 0 +3,3 5 -2,1 1 +0
westside GX,2 0 +2,0 1 -1,0 1 -1,1 0 +1,
