,Chronicle FNC,Alfajer FNC,crashies FNC,kaajak FNC,Boaster FNC
purp0 GX,6 1 +5,2 6 -4,1 2 -1,0 6 -6,2 3 -1
Cloud GX,3 3 +0,6 4 +2,5 4 +1,3 4 -1,5 2 +3
Flickless GX,4 3 +1,3 3 +0,4 5 -1,3 3 +0,5 1 +4
ara GX,0 2 -2,2 6 -4,4 7 -3,6 2 +4,0 4 -4
westside GX,1 1 +0,5 3 +2,0 5 -5,4 5 -1,3 3 +0
