,Chronicle FNC,Alfajer FNC,crashies FNC,kaajak FNC,Boaster FNC
purp0 GX,,,,,
Cloud GX,,0 1 -1,,,
Flickless GX,,,,0 1 -1,
ara GX,,0 1 -1,,0 2 -2,
westside GX,,0 1 -1,,0 1 -1,
