,Chronicle FNC,Alfajer FNC,crashies FNC,kaajak FNC,Boaster FNC
purp0 GX,1 1 +0,1 0 +1,,0 3 -3,
Cloud GX,1 0 +1,,0 1 -1,0 1 -1,1 0 +1
Flickless GX,1 1 +0,1 0 +1,0 1 -1,1 0 +1,
ara GX,,1 2 -1,2 0 +2,2 0 +2,
westside GX,,0 1 -1,,,
