,Chronicle FNC,Alfajer FNC,crashies FNC,kaajak FNC,Boaster FNC
purp0 GX,,,,0 1 -1,0 1 -1
Cloud GX,,1 0 +1,,3 0 +3,
Flickless GX,,1 3 -2,0 1 -1,,0 1 -1
ara GX,2 0 +2,1 2 -1,1 0 +1,0 3 -3,1 1 +0
westside GX,,,,,
