,Chronicle FNC,Alfajer FNC,crashies FNC,kaajak FNC,Boaster FNC
purp0 GX,3 2 +1,3 3 +0,2 2 +0,3 3 +0,1 3 -2
Cloud GX,2 3 -1,4 3 +1,0 3 -3,2 4 -2,1 3 -2
Flickless GX,1 4 -3,2 1 +1,3 2 +1,2 4 -2,0 3 -3
ara GX,4 3 +1,2 5 -3,0 2 -2,3 3 +0,4 1 +3
westside GX,5 1 +4,2 5 -3,3 5 -2,2 2 +0,3 1 +2
