,Chronicle FNC,Alfajer FNC,crashies FNC,kaajak FNC,Boaster FNC
purp0 GX,11 5 +6,8 13 -5,5 5 +0,4 12 -8,5 8 -3
Cloud GX,7 7 +0,15 10 +5,7 8 -1,12 14 -2,8 9 -1
Flickless GX,7 10 -3,8 8 +0,10 9 +1,6 11 -5,12 6 +6
ara GX,9 5 +4,9 14 -5,10 11 -1,11 9 +2,7 11 -4
westside GX,8 6 +2,9 12 -3,6 10 -4,12 10 +2,8 7 +1
