,Chronicle FNC,Alfajer FNC,crashies FNC,kaajak FNC,Boaster FNC
purp0 GX,,,,0 4 -4,
Cloud GX,,,,0 1 -1,
Flickless GX,,,,,
ara GX,,1 0 +1,,0 1 -1,
westside GX,,,,0 1 -1,
