,Chronicle FNC,Alfajer FNC,crashies FNC,kaajak FNC,Boaster FNC
purp0 GX,,,1 0 +1,,
Cloud GX,0 2 -2,,,1 0 +1,1 0 +1
Flickless GX,,,,0 1 -1,0 1 -1
ara GX,1 2 -1,1 0 +1,,1 2 -1,
westside GX,2 0 +2,,0 1 -1,1 0 +1,
