,Chronicle FNC,Alfajer FNC,crashies FNC,kaajak FNC,Boaster FNC
purp0 GX,2 2 +0,3 4 -1,2 1 +1,1 3 -2,2 2 +0
Cloud GX,2 1 +1,5 3 +2,2 1 +1,7 6 +1,2 4 -2
Flickless GX,2 3 -1,3 4 -1,3 2 +1,1 4 -3,7 2 +5
ara GX,5 0 +5,5 3 +2,6 2 +4,2 4 -2,3 6 -3
westside GX,2 4 -2,2 4 -2,3 0 +3,6 3 +3,2 3 -1
