,Chronicle FNC,Alfajer FNC,crashies FNC,kaajak FNC,Boaster FNC
purp0 GX,,,,0 4 -4,
Cloud GX,,0 1 -1,,0 1 -1,
Flickless GX,,,,0 1 -1,
ara GX,,1 1 +0,,0 3 -3,
westside GX,,0 1 -1,,0 2 -2,
