,zekken SEN,N4RRATE SEN,Zellsis SEN,johnqt SEN,bang SEN
Rarga XLG,0 1 -1,1 2 -1,1 0 +1,0 1 -1,0 1 -1
Midi XLG,,,,,
Viva XLG,1 2 -1,,,,1 0 +1
happywei XLG,3 1 +2,,1 0 +1,,1 0 +1
coconut XLG,0 1 -1,,,,0 1 -1
