,zekken SEN,N4RRATE SEN,Zellsis SEN,johnqt SEN,bang SEN
Rarga XLG,2 2 +0,1 5 -4,2 5 -3,2 2 +0,5 3 +2
Midi XLG,2 2 +0,4 1 +3,2 4 -2,1 4 -3,0 5 -5
Viva XLG,1 4 -3,3 3 +0,2 3 -1,2 5 -3,3 1 +2
happywei XLG,2 3 -1,3 5 -2,3 3 +0,1 2 -1,2 2 +0
coconut XLG,3 3 +0,2 1 +1,2 1 +1,4 3 +1,1 7 -6
