,zekken SEN,N4RRATE SEN,Zellsis SEN,johnqt SEN,bang SEN
Rarga XLG,2 1 +1,2 2 +0,2 3 -1,0 2 -2,0 1 -1
Midi XLG,1 0 +1,,1 0 +1,,0 1 -1
Viva XLG,1 2 -1,,,,1 0 +1
happywei XLG,4 2 +2,,2 1 +1,,1 0 +1
coconut XLG,1 3 -2,,,,0 2 -2
