,flyuh MKOI,sheydos MKOI,grubinho MKOI,Filu MKOI,soulcas MKOI
paTiTek TL,1 0 +1,,,1 0 +1,
kamo TL,,,,0 2 -2,1 0 +1
keiko TL,2 0 +2,,1 0 +1,,0 1 -1
nAts TL,1 1 +0,0 1 -1,1 0 +1,0 1 -1,1 2 -1
Serial TL,,,,,1 0 +1
