,flyuh MKOI,sheydos MKOI,grubinho MKOI,Filu MKOI,soulcas MKOI
paTiTek TL,4 0 +4,,,1 2 -1,
kamo TL,1 2 -1,2 0 +2,1 1 +0,1 3 -2,1 1 +0
keiko TL,2 0 +2,,1 0 +1,,0 1 -1
nAts TL,1 1 +0,0 1 -1,2 0 +2,0 1 -1,1 2 -1
Serial TL,0 1 -1,,,0 2 -2,1 0 +1
