,flyuh MKOI,sheydos MKOI,grubinho MKOI,Filu MKOI,soulcas MKOI
paTiTek TL,3 0 +3,,,0 2 -2,
kamo TL,1 2 -1,2 0 +2,1 1 +0,1 1 +0,0 1 -1
keiko TL,,,,,
nAts TL,,,1 0 +1,,
Serial TL,0 1 -1,,,0 2 -2,
