,kamyk TL,paTiTek TL,nAts TL,kamo TL,keiko TL
PROFEK BBL,4 4 +0,3 5 -2,3 2 +1,4 1 +3,2 4 -2
LewN BBL,0 6 -6,6 1 +5,4 3 +1,4 3 +1,3 5 -2
Jamppi BBL,2 2 +0,1 3 -2,5 3 +2,1 5 -4,6 3 +3
sociablEE BBL,4 4 +0,6 1 +5,3 4 -1,6 3 +3,1 4 -3
vakk BBL,6 4 +2,3 1 +2,3 2 +1,5 3 +2,5 3 +2
