,kamyk TL,paTiTek TL,nAts TL,kamo TL,keiko TL
PROFEK BBL,,0 1 -1,0 2 -2,0 1 -1,0 1 -1
LewN BBL,2 2 +0,2 4 -2,1 6 -5,2 2 +0,1 4 -3
Jamppi BBL,,0 1 -1,1 3 -2,0 1 -1,1 0 +1
sociablEE BBL,1 1 +0,5 1 +4,3 3 +0,4 5 -1,0 3 -3
vakk BBL,,,1 0 +1,0 3 -3,0 1 -1
