,kamyk TL,paTiTek TL,nAts TL,kamo TL,keiko TL
PROFEK BBL,,0 1 -1,0 1 -1,,0 1 -1
LewN BBL,0 1 -1,0 4 -4,0 1 -1,1 1 +0,0 2 -2
Jamppi BBL,,0 1 -1,1 2 -1,,
sociablEE BBL,,1 0 +1,2 1 +1,1 1 +0,0 1 -1
vakk BBL,,,,,
