,kamyk TL,paTiTek TL,nAts TL,kamo TL,keiko TL
PROFEK BBL,,,0 1 -1,,
LewN BBL,2 1 +1,,1 3 -2,1 1 +0,1 0 +1
Jamppi BBL,,,0 1 -1,,1 0 +1
sociablEE BBL,1 0 +1,0 1 -1,1 1 +0,1 2 -1,0 1 -1
vakk BBL,,,,0 1 -1,0 1 -1
