,kamyk TL,paTiTek TL,nAts TL,kamo TL,keiko TL
PROFEK BBL,1 2 -1,5 2 +3,3 2 +1,7 4 +3,0 5 -5
LewN BBL,6 2 +4,1 3 -2,3 6 -3,3 4 -1,5 2 +3
Jamppi BBL,1 5 -4,4 2 +2,3 5 -2,3 4 -1,3 2 +1
sociablEE BBL,3 3 +0,3 5 -2,3 2 +1,1 5 -4,4 3 +1
vakk BBL,4 3 +1,1 1 +0,6 3 +3,1 2 -1,2 6 -4
