,kamyk TL,paTiTek TL,nAts TL,kamo TL,keiko TL
PROFEK BBL,9 9 +0,11 9 +2,9 9 +0,14 9 +5,6 12 -6
LewN BBL,11 9 +2,10 9 +1,8 15 -7,9 10 -1,11 10 +1
Jamppi BBL,4 10 -6,6 10 -4,12 10 +2,6 13 -7,10 11 -1
sociablEE BBL,12 10 +2,12 7 +5,14 11 +3,13 11 +2,8 11 -3
vakk BBL,11 11 +0,8 5 +3,12 6 +6,10 11 -1,11 12 -1
