,kamyk TL,paTiTek TL,nAts TL,kamo TL,keiko TL
PROFEK BBL,,0 1 -1,,,
LewN BBL,4 0 +4,1 0 +1,1 0 +1,1 0 +1,3 0 +3
Jamppi BBL,,1 1 +0,,,
sociablEE BBL,,,,,
vakk BBL,,,,1 0 +1,
