,kamyk TL,paTiTek TL,nAts TL,kamo TL,keiko TL
PROFEK BBL,,,,,
LewN BBL,2 0 +2,1 0 +1,,1 0 +1,1 0 +1
Jamppi BBL,,1 0 +1,,,
sociablEE BBL,,,,,
vakk BBL,,,,1 0 +1,
