,kamyk TL,paTiTek TL,nAts TL,kamo TL,keiko TL
PROFEK BBL,4 3 +1,3 2 +1,3 5 -2,3 4 -1,4 3 +1
LewN BBL,5 1 +4,3 5 -2,1 6 -5,2 3 -1,3 3 +0
Jamppi BBL,1 3 -2,1 5 -4,4 2 +2,2 4 -2,1 6 -5
sociablEE BBL,5 3 +2,3 1 +2,8 5 +3,6 3 +3,3 4 -1
vakk BBL,1 4 -3,4 3 +1,3 1 +2,4 6 -2,4 3 +1
