,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
pANcada LOUD,,1 Round 22 Asuna Cryocells,2 Round 23 zander eeiu Kess Round 26 Cryocells zander Kess,,,,1 Round 23 eeiu Kess,1 Round 18 eeiu Kess Asuna,,,40,3,0
Virtyy LOUD,,5 Round 3 eeiu Cryocells Round 4 Kess eeiu Round 11 Asuna eeiu Round 14 Kess zander Round 19 Asuna zander,,,,,,,,,33,0,1
RobbieBk LOUD,,2 Round 21 Cryocells eeiu Round 22 zander Kess,1 Round 16 Cryocells Kess Asuna,,,,,,,,36,2,0
cauanzin LOUD,,2 Round 5 Kess zander Round 25 zander Asuna,2 Round 4 Asuna zander Cryocells Round 10 zander eeiu Cryocells,,,,,,,,40,3,1
lukxo LOUD,,7 Round 2 Kess Cryocells Round 5 eeiu Cryocells Round 7 Kess eeiu Round 9 Cryocells Asuna Round 18 zander Cryocells Round 21 zander Asuna Round 25 Cryocells eeiu,3 Round 3 zander Kess Asuna Round 11 Cryocells Kess zander Round 13 Cryocells Asuna Kess,,,,1 Round 2 Cryocells Kess,,,,81,0,2
Asuna 100T,,3 Round 6 cauanzin pANcada Round 24 cauanzin lukxo Round 25 pANcada lukxo,2 Round 18 cauanzin lukxo RobbieBk Round 21 Virtyy RobbieBk cauanzin,1 Round 12 RobbieBk cauanzin Virtyy pANcada,,,,,,,62,2,0
eeiu 100T,,3 Round 1 RobbieBk cauanzin Round 13 Virtyy cauanzin Round 17 RobbieBk pANcada,1 Round 23 RobbieBk Virtyy lukxo,,,,,,,,40,1,1
Cryocells 100T,,4 Round 2 RobbieBk cauanzin Round 6 Virtyy RobbieBk Round 7 cauanzin lukxo Round 15 Virtyy RobbieBk,,,,,,,,,44,0,1
zander 100T,,5 Round 11 cauanzin pANcada Round 14 lukxo pANcada Round 20 lukxo cauanzin Round 24 pANcada Virtyy Round 26 Virtyy cauanzin,,,,,,,,,45,5,0
Kess 100T,,8 Round 1 Virtyy pANcada Round 9 RobbieBk cauanzin Round 15 cauanzin lukxo Round 16 cauanzin pANcada Round 17 cauanzin Virtyy Round 19 RobbieBk cauanzin Round 20 RobbieBk pANcada Round 25 Virtyy cauanzin,,,,1 Round 25 cauanzin,,,,,55,2,0
