,Cryocells 100T,Asuna 100T,eeiu 100T,Kess 100T,zander 100T
cauanzin LOUD,,2 0 +2,,,0 1 -1
RobbieBk LOUD,,0 1 -1,,,
pANcada LOUD,,0 1 -1,,,
lukxo LOUD,1 0 +1,1 1 +0,2 0 +2,,2 0 +2
Virtyy LOUD,1 4 -3,1 2 -1,1 1 +0,2 1 +1,0 1 -1
