,johnqt SEN,bang SEN,zekken SEN,Zellsis SEN,N4RRATE SEN
Derrek EG,1 0 +1,,,,
NaturE EG,,0 1 -1,,,
supamen EG,,,0 1 -1,0 1 -1,0 1 -1
icy EG,,1 0 +1,1 3 -2,1 0 +1,
yay EG,,1 0 +1,2 1 +1,1 0 +1,0 1 -1
