,johnqt SEN,bang SEN,zekken SEN,Zellsis SEN,N4RRATE SEN
Derrek EG,,,,,
NaturE EG,,,1 2 -1,0 1 -1,1 0 +1
supamen EG,0 1 -1,,,,0 1 -1
icy EG,1 0 +1,,,,
yay EG,1 0 +1,1 2 -1,3 3 +0,,0 1 -1
