Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Kai,TE,Map_1_1Lotus,All,Killjoy,,284,24,18,0,+6,,179,39%,3,0,+3
LuoK1ng,TE,Map_1_1Lotus,All,Omen,,189,18,14,12,+4,,103,39%,2,2,0
Biank,TE,Map_1_1Lotus,All,Fade,,189,16,18,10,-2,,118,31%,2,3,-1
FengF,TE,Map_1_1Lotus,All,Raze,,185,16,19,1,-3,,116,15%,4,5,-1
heybay,TE,Map_1_1Lotus,All,Viper,,134,9,15,12,-6,,86,13%,2,1,+1
Life,FPX,Map_1_1Lotus,All,Raze,,306,24,19,6,+5,,188,20%,6,3,+3
Lysoar,FPX,Map_1_1Lotus,All,Omen,,226,20,14,5,+6,,154,35%,1,2,-1
Autumn,FPX,Map_1_1Lotus,All,Viper,,161,13,17,3,-4,,109,22%,1,2,-1
BerLIN,FPX,Map_1_1Lotus,All,Astra,,153,13,17,5,-4,,94,39%,3,4,-1
AAAAY,FPX,Map_1_1Lotus,All,Gekko,,152,14,16,6,-2,,109,41%,0,2,-2
Kai,TE,Map_1_1Lotus,Attack,Killjoy,,,,,,,
LuoK1ng,TE,Map_1_1Lotus,Attack,Omen,,,,,,,
Biank,TE,Map_1_1Lotus,Attack,Fade,,,,,,,
FengF,TE,Map_1_1Lotus,Attack,Raze,,,,,,,
heybay,TE,Map_1_1Lotus,Attack,Viper,,,,,,,
Life,FPX,Map_1_1Lotus,Attack,Raze,,,,,,,
Lysoar,FPX,Map_1_1Lotus,Attack,Omen,,,,,,,
Autumn,FPX,Map_1_1Lotus,Attack,Viper,,,,,,,
BerLIN,FPX,Map_1_1Lotus,Attack,Astra,,,,,,,
AAAAY,FPX,Map_1_1Lotus,Attack,Gekko,,,,,,,
Kai,TE,Map_1_1Lotus,Defend,Killjoy,,,,,,,
LuoK1ng,TE,Map_1_1Lotus,Defend,Omen,,,,,,,
Biank,TE,Map_1_1Lotus,Defend,Fade,,,,,,,
FengF,TE,Map_1_1Lotus,Defend,Raze,,,,,,,
heybay,TE,Map_1_1Lotus,Defend,Viper,,,,,,,
Life,FPX,Map_1_1Lotus,Defend,Raze,,,,,,,
Lysoar,FPX,Map_1_1Lotus,Defend,Omen,,,,,,,
Autumn,FPX,Map_1_1Lotus,Defend,Viper,,,,,,,
BerLIN,FPX,Map_1_1Lotus,Defend,Astra,,,,,,,
AAAAY,FPX,Map_1_1Lotus,Defend,Gekko,,,,,,,
