Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
FengF,TE,Map_3_3Abyss,All,Raze,,257,17,18,2,-1,,162,20%,3,1,+2
LuoK1ng,TE,Map_3_3Abyss,All,Omen,,191,13,14,4,-1,,109,17%,1,2,-1
Kai,TE,Map_3_3Abyss,All,Cypher,,178,13,16,1,-3,,124,30%,1,3,-2
heybay,TE,Map_3_3Abyss,All,Viper,,116,8,15,2,-7,,69,25%,2,6,-4
Biank,TE,Map_3_3Abyss,All,Kayo,,76,6,17,6,-11,,55,13%,0,2,-2
Life,FPX,Map_3_3Abyss,All,Yoru,,279,21,11,6,+10,,198,49%,4,1,+3
Lysoar,FPX,Map_3_3Abyss,All,Cypher,,220,18,13,4,+5,,145,26%,2,1,+1
Autumn,FPX,Map_3_3Abyss,All,Viper,,208,14,10,11,+4,,134,32%,4,1,+3
AAAAY,FPX,Map_3_3Abyss,All,Fade,,175,14,11,9,+3,,133,35%,1,2,-1
BerLIN,FPX,Map_3_3Abyss,All,Omen,,166,13,12,11,+1,,97,33%,3,2,+1
FengF,TE,Map_3_3Abyss,Attack,Raze,,,,,,,
LuoK1ng,TE,Map_3_3Abyss,Attack,Omen,,,,,,,
Kai,TE,Map_3_3Abyss,Attack,Cypher,,,,,,,
heybay,TE,Map_3_3Abyss,Attack,Viper,,,,,,,
Biank,TE,Map_3_3Abyss,Attack,Kayo,,,,,,,
Life,FPX,Map_3_3Abyss,Attack,Yoru,,,,,,,
Lysoar,FPX,Map_3_3Abyss,Attack,Cypher,,,,,,,
Autumn,FPX,Map_3_3Abyss,Attack,Viper,,,,,,,
AAAAY,FPX,Map_3_3Abyss,Attack,Fade,,,,,,,
BerLIN,FPX,Map_3_3Abyss,Attack,Omen,,,,,,,
FengF,TE,Map_3_3Abyss,Defend,Raze,,,,,,,
LuoK1ng,TE,Map_3_3Abyss,Defend,Omen,,,,,,,
Kai,TE,Map_3_3Abyss,Defend,Cypher,,,,,,,
heybay,TE,Map_3_3Abyss,Defend,Viper,,,,,,,
Biank,TE,Map_3_3Abyss,Defend,Kayo,,,,,,,
Life,FPX,Map_3_3Abyss,Defend,Yoru,,,,,,,
Lysoar,FPX,Map_3_3Abyss,Defend,Cypher,,,,,,,
Autumn,FPX,Map_3_3Abyss,Defend,Viper,,,,,,,
AAAAY,FPX,Map_3_3Abyss,Defend,Fade,,,,,,,
BerLIN,FPX,Map_3_3Abyss,Defend,Omen,,,,,,,
