,v1c C9,OXY C9,mitch C9,neT C9,Xeppaa C9
skuba NRG,,2 4 -2,2 2 +0,3 1 +2,1 1 +0
mada NRG,4 1 +3,5 0 +5,4 1 +3,4 1 +3,4 2 +2
brawk NRG,4 2 +2,3 1 +2,5 1 +4,2 1 +1,4 2 +2
s0m NRG,3 3 +0,1 0 +1,2 1 +1,0 1 -1,1 1 +0
Ethan NRG,3 1 +2,3 1 +2,1 2 -1,3 2 +1,3 3 +0
