,v1c C9,OXY C9,mitch C9,neT C9,Xeppaa C9
skuba NRG,1 0 +1,0 2 -2,1 1 +0,,
mada NRG,0 1 -1,1 1 +0,,2 1 +1,1 1 +0
brawk NRG,,,,,1 1 +0
s0m NRG,1 0 +1,1 0 +1,,,
Ethan NRG,1 1 +0,1 1 +0,1 0 +1,1 0 +1,
