,v1c C9,OXY C9,mitch C9,neT C9,Xeppaa C9
skuba NRG,5 7 -2,6 15 -9,9 5 +4,9 6 +3,7 7 +0
mada NRG,10 8 +2,11 11 +0,10 3 +7,13 8 +5,11 11 +0
brawk NRG,11 12 -1,10 8 +2,11 6 +5,6 5 +1,14 5 +9
s0m NRG,8 9 -1,7 7 +0,10 5 +5,10 6 +4,8 8 +0
Ethan NRG,10 13 -3,15 11 +4,8 3 +5,9 6 +3,10 12 -2
