,v1c C9,OXY C9,mitch C9,neT C9,Xeppaa C9
skuba NRG,3 4 -1,3 3 +0,4 1 +3,3 5 -2,4 3 +1
mada NRG,3 3 +0,3 8 -5,3 0 +3,3 4 -1,3 5 -2
brawk NRG,4 7 -3,3 4 -1,2 1 +1,0 3 -3,4 2 +2
s0m NRG,3 3 +0,2 3 -1,6 2 +4,5 3 +2,3 5 -2
Ethan NRG,2 5 -3,5 6 -1,1 0 +1,4 3 +1,4 6 -2
